INFO 2025-01-15 13:44:52,849 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/views/decorators/common.py first seen with mtime 1736859859.2869034
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/argparse.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/admin/helpers.py first seen with mtime 1736859858.3119013
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/wsgiref/util.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/messages/__init__.py first seen with mtime 1736859858.9409027
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/email/base64mime.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/decorators.py first seen with mtime 1736859859.2709033
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/admin/decorators.py first seen with mtime 1736859858.3109012
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/datetime.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1736859858.706902
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/postgres/validators.py first seen with mtime 1736859858.9459026
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/sqlparse/filters/tokens.py first seen with mtime 1736859857.8589003
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/indexes.py first seen with mtime 1736859859.2009032
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/asyncio/locks.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/lib-dynload/_bz2.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/dis.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/version.py first seen with mtime 1736859859.2799034
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/warnings.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/weakref.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/mimetypes.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/expressions.py first seen with mtime 1736859859.1999032
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/urls/utils.py first seen with mtime 1736859859.2639034
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/files/locks.py first seen with mtime 1736859859.1519032
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/asyncio/subprocess.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/corsheaders/apps.py first seen with mtime 1736860076.3563924
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/wsgi.py first seen with mtime 1736859859.1449032
DEBUG 2025-01-15 13:44:52,929 autoreload File /etc/python3.12/sitecustomize.py first seen with mtime 1712727227.0
